V1,V2,V3,Amount,Class
-0.611711999,-0.769705324,-0.149759145,1.79,0
-0.814681711,1.319218859,1.32941459,1.98,0
-0.318193485,1.118617701,0.969864354,0.89,0
-1.328270899,1.01837787,1.775425524,15.98,0
1.276712015,0.617119817,-0.578013677,0.76,0
0.0771974,0.482927943,-2.234233109,69.9,0
-0.958584447,1.109085649,1.558158611,6.55,0
-0.992898832,1.430204282,1.071256204,1,0
-1.143693104,-0.250983081,1.013022193,84.15,0
0.55504342,-0.099484401,-0.102234042,17.24,0
0.8842818,-0.97349529,0.929079577,177.44,0
1.443702988,-0.377190002,-0.508374814,34,0
1.024814042,-1.179947926,1.702953617,21.58,0
1.169117457,-2.019646038,1.502811416,131.95,0
1.96325167,-0.3775004,-0.583341885,5,0
0.144212614,-2.652250334,-1.020834149,690.23,0
-1.524080896,-1.093226101,0.745317197,5.35,0
-0.65686079,1.042256231,0.719976504,70.44,0
1.004708942,-1.352655327,-0.288438317,231.37,0
-0.29294563,1.161832232,1.620346437,1.98,0
1.944531881,-1.58719504,-0.035337567,114,0
2.038039478,-0.113168033,-1.34432886,15.27,0
1.88468,-1.055001027,-1.235990184,61.85,0
-1.727668594,0.392697925,-0.587288602,1,0
-1.0264071,1.173932515,1.997019648,17.97,0
1.766630715,-1.597333111,-0.631324938,201,0
2.105164193,-0.019802188,-1.699413134,0.68,0
2.1573304,-0.853482522,-1.895820817,33.74,0
-1.694148586,1.228759519,-0.447682465,50,0
0.495239466,-2.198349059,1.165238023,400,0
-1.843618551,1.605723539,0.569259553,3.84,0
1.916612716,-0.7836422,-0.677132249,76.46,0
-5.893675812,-7.555990156,0.113219673,769.22,0
-1.569565016,0.910599882,-0.555322218,275,0
1.12388257,0.122591422,0.977097583,10,0
-0.603902916,0.343804282,1.115619339,6.04,0
1.299977221,-0.4413896,0.082925659,35,0
0.177137102,1.067161856,-2.021659233,42.81,0
1.188148112,0.090219989,0.585083308,8.99,0
1.85411623,-0.605363385,-1.290645861,109.12,0
0.828034959,-0.652978934,0.634038322,177.99,0
0.063889361,0.983001501,1.68453843,4.95,0
-4.860880274,3.368590127,-2.032333238,227.51,0
-2.342589631,-0.80439805,0.892563099,212,0
-0.740182889,1.631580536,-1.188711868,89.99,0
1.386283303,-1.138109036,0.396933371,15,0
1.17622049,-0.320372809,0.892969255,8.95,0
1.987446589,0.070766612,-1.073445198,6.04,0
0.820351466,-1.073680618,0.932215801,188.35,0
2.040211058,-0.146974975,-2.955933665,1.98,0
-1.824555273,2.727610219,0.785553175,2.69,0
1.959058683,-0.5429279,-0.578267948,12.99,0
-1.612937099,2.658512702,-1.054838468,0.89,0
1.861994273,-0.521784368,-1.152562435,87.36,0
2.08062406,-0.059622954,-2.099225533,12.36,0
2.319222352,-1.225544689,-0.855080435,5,0
-2.930772094,-2.192673935,2.033185546,323.12,0
-0.076184929,1.212882084,-0.587047531,2.28,0
-0.529056163,1.109319647,-0.394555421,9.32,0
1.66720084,-0.568589872,-0.1797365,123.07,0
-7.965882818,7.068867749,-6.577986408,2.23,0
-2.052624937,-0.655241858,1.335695674,300,0
2.105472768,-0.062753082,-1.63668712,2.28,0
0.152504723,-0.597661442,-1.538271482,10,0
-3.330013449,-0.141057978,0.366207911,437.85,0
-0.375140644,0.338290552,1.091090026,23.9,0
1.834846618,-0.516286982,-0.69968488,102.5,0
1.918890307,-0.17097629,-0.309115817,13.49,0
1.017011244,-0.42595883,0.72680611,62,0
2.038759149,-0.328340796,-0.672410284,9.99,0
1.057808173,-0.161184231,0.715670254,39.99,0
1.127719155,-0.043022886,0.550571354,30.73,0
2.050264511,0.147545685,-1.783646339,7.99,0
-2.161078727,1.915085767,-0.937879156,1,0
1.313521942,0.240173851,-0.013465163,1.98,0
1.060149396,-1.223162356,1.248981926,125.9,0
1.133615445,-0.086690533,1.261302786,1,0
-0.254750606,1.116178886,-0.546859599,17.99,0
-2.177450571,-5.851493442,-1.199659423,1706.34,0
-2.271399595,2.010715594,-0.120049629,0,0
-1.018087978,0.568120555,2.183040162,9.83,0
0.507853175,2.006237167,-2.344814269,0.99,0
-1.541678492,3.846799676,-7.604114173,122.68,1
-0.44376387,0.708968305,1.161438653,228.4,0
-3.419422638,-1.130075598,1.607086374,22.7,0
2.066881919,0.223993131,-1.673362638,0.89,0
-2.372552296,1.217270702,0.295753161,100.47,0
-0.433142463,0.421165174,1.903000734,49.2,0
0.12249398,-2.939536634,-2.291010833,713.78,0
-0.915849066,0.580296324,-0.173532257,50,0
-0.451572337,1.426689881,-0.895533726,9.99,0
-2.362788308,-1.305038649,2.197332774,0.01,0
-0.104979197,0.326376392,0.20802233,25,0
1.995965563,-0.247681025,-1.774411835,33.35,0
1.211947747,0.306738889,-0.282751616,2.23,0
-11.48096669,-16.70999538,-2.513383655,2163.25,0
-1.174786481,0.060369426,1.606134475,66,0
1.878554569,-0.449882507,-1.913586161,108.69,0
0.897975271,-0.13309076,0.367445412,144,0
-1.958374332,2.147629571,0.147969766,98.47,0
1.71076224,-1.642716523,-1.971380777,280.81,0
-1.659740544,0.35499671,1.905337889,69.34,0
2.117013858,-0.876500162,-1.350675825,49.4,0
2.088201554,-0.282200988,-1.839330403,1,0
-2.245474015,1.945902983,0.411740109,1.98,0
-0.455814609,-0.206672254,2.130433949,115,0
1.000789353,-0.613113426,0.432907978,118,0
2.070284893,-1.488055919,-2.909196674,189.9,0
-8.891598365,5.845887712,-4.675331793,5,0
-1.351510425,-0.526841057,2.346503739,42.13,0
1.38655924,-0.451200275,0.542219089,5,0
0.166918809,-2.022715325,0.689020512,500,0
-1.813167209,-2.510307653,0.897437188,142.29,0
-0.879254579,1.350433232,-1.388056065,28.18,0
-0.699952164,0.362725703,2.652317263,69.79,0
-0.595105434,0.57019098,0.548438505,161.1,0
-1.190286661,0.549554363,2.018720367,4.2,0
2.22954338,-0.69300531,-1.678682739,25.14,0
-3.881552032,-4.423355477,-0.287859919,1789,0
1.161700082,-0.541675707,0.894958672,79,0
-4.10044695,1.438854155,-0.610069093,0.46,0
-0.31951117,1.121453336,-0.075170949,15.28,0
1.865741826,0.383291236,-0.378550138,30.27,0
-3.257565161,2.598951157,-0.022319267,3.84,0
-0.334055213,0.790605495,1.583628436,4.75,0
-0.57754744,1.009414464,1.476583831,9.99,0
-0.903628224,-0.233362598,2.580863531,71.26,0
-0.335693024,1.046445966,-1.117621902,31,0
-0.382153634,1.116624275,1.330926777,7.02,0
-0.383309293,0.895213823,0.002783278,37.18,0
-0.407645936,0.390223212,2.293310093,14.34,0
2.066924135,0.022195619,-2.233423501,44.5,0
-1.500301707,0.424785863,1.048840812,170,0
1.97770916,-1.254246815,0.129672556,45.9,0
-1.730020005,-1.215508677,0.136010025,0.76,0
-1.616074367,-0.165593955,1.840636449,149,0
1.935943242,-0.644385416,-0.519577852,47.39,0
-1.704682311,1.670442101,0.819690838,1,0
-0.992588255,1.391581681,1.928479572,46.03,0
1.487426347,-1.24112882,-0.646732546,272.5,0
-2.105933711,-0.659867882,1.857741855,79,0
-1.345617128,1.573000042,1.489122375,9.21,0
1.220975174,0.083297577,0.624164241,9.49,0
1.673459868,-0.647889027,-2.816277664,229,0
